OrigID	#SampleID	Accession_number	Species	country	country_of_birth	geographic_region	life_style	life_style_2	life_style_3	population	HCA	species_population	lifestyle_species	phyl_group	phyl_group2	phyl_group3	phyl_group_lifestyle	ecol_group
Ahyb135	Ahyb135_ACTTGA_L002_R1_001_kneaddata	ERX2201480	Ateles_hybridus	Colombia	Colombia	South America	na	na	na	Colombia	no	Ateles hybridus	Ateles_hybridus	NWM	NWM	NHP	NWM	na
Ahyb257	Ahyb257_GATCAG_L002_R1_001_kneaddata	ERX2201481	Ateles_hybridus	Colombia	Colombia	South America	na	na	na	Colombia	no	Ateles hybridus	Ateles_hybridus	NWM	NWM	NHP	NWM	na
Ahyb401	Ahyb401_TAGCTT_L002_R1_001_kneaddata	ERX2201482	Ateles_hybridus	Colombia	Colombia	South America	na	na	na	Colombia	no	Ateles hybridus	Ateles_hybridus	NWM	NWM	NHP	NWM	na
Ahyb411	Ahyb411_GGCTAC_L002_R1_001_kneaddata	ERX2201483	Ateles_hybridus	Colombia	Colombia	South America	na	na	na	Colombia	no	Ateles hybridus	Ateles_hybridus	NWM	NWM	NHP	NWM	na
APAL36	APAL36_GCCAAT_L001_R1_001_kneaddata	ERX2201467	Alouatta_palliata	Nicaragua	Nicaragua	Central America	na	na	na	Nicaragua	no	Alouatta palliata	Alouatta_palliata	NWM	NWM	NHP	NWM	na
APAL37	APAL37_CAGATC_L001_R1_001_kneaddata	ERX2201468	Alouatta_palliata	Nicaragua	Nicaragua	Central America	na	na	na	Nicaragua	no	Alouatta palliata	Alouatta_palliata	NWM	NWM	NHP	NWM	na
APAL38	APAL38_ACTTGA_L001_R1_001_kneaddata	ERX2201469	Alouatta_palliata	Nicaragua	Nicaragua	Central America	na	na	na	Nicaragua	no	Alouatta palliata	Alouatta_palliata	NWM	NWM	NHP	NWM	na
APAL39	APAL39_GATCAG_L001_R1_001_kneaddata	ERX2201470	Alouatta_palliata	Nicaragua	Nicaragua	Central America	na	na	na	Nicaragua	no	Alouatta palliata	Alouatta_palliata	NWM	NWM	NHP	NWM	na
Apalw13	Apalw13_TAGCTT_L001_R1_001_kneaddata	ERX2201484	Alouatta_palliata	Nicaragua	Nicaragua	Central America	na	na	na	Nicaragua	no	Alouatta palliata	Alouatta_palliata	NWM	NWM	NHP	NWM	na
Apalw14	Apalw14_GGCTAC_L001_R1_001_kneaddata	ERX2201485	Alouatta_palliata	Nicaragua	Nicaragua	Central America	na	na	na	Nicaragua	no	Alouatta palliata	Alouatta_palliata	NWM	NWM	NHP	NWM	na
APF103	APF103_CTTGTA_L001_R1_001_kneaddata	ERX2201471	Alouatta_pigra	Mexico	Mexico	Central America	na	na	na	Mexico	no	Alouatta pigra	Alouatta_pigra	NWM	NWM	NHP	NWM	na
APF104	APF104_AGTCAA_L001_R1_001_kneaddata	ERX2201472	Alouatta_pigra	Mexico	Mexico	Central America	na	na	na	Mexico	no	Alouatta pigra	Alouatta_pigra	NWM	NWM	NHP	NWM	na
APF105	APF105_AGTTCC_L001_R1_001_kneaddata	ERX2201473	Alouatta_pigra	Mexico	Mexico	Central America	na	na	na	Mexico	no	Alouatta pigra	Alouatta_pigra	NWM	NWM	NHP	NWM	na
APF106	APF106_ATGTCA_L001_R1_001_kneaddata	ERX2201474	Alouatta_pigra	Mexico	Mexico	Central America	na	na	na	Mexico	no	Alouatta pigra	Alouatta_pigra	NWM	NWM	NHP	NWM	na
APF36	APF36_CCGTCC_L001_R1_001_kneaddata	ERX2201475	Alouatta_pigra	Mexico	Mexico	Central America	na	na	na	Mexico	no	Alouatta pigra	Alouatta_pigra	NWM	NWM	NHP	NWM	na
APF37	APF37_GTCCGC_L001_R1_001_kneaddata	ERX2201476	Alouatta_pigra	Mexico	Mexico	Central America	na	na	na	Mexico	no	Alouatta pigra	Alouatta_pigra	NWM	NWM	NHP	NWM	na
APF38	APF38_GTGAAA_L001_R1_001_kneaddata	ERX2201477	Alouatta_pigra	Mexico	Mexico	Central America	na	na	na	Mexico	no	Alouatta pigra	Alouatta_pigra	NWM	NWM	NHP	NWM	na
APF39	APF39_GTGGCC_L001_R1_001_kneaddata	ERX2201478	Alouatta_pigra	Mexico	Mexico	Central America	na	na	na	Mexico	no	Alouatta pigra	Alouatta_pigra	NWM	NWM	NHP	NWM	na
Asen1111	Asen1111_GAGTGG_L001_R1_001_kneaddata	ERX2201486	Alouatta_seniculus	Colombia	Colombia	South America	na	na	na	Colombia	no	Alouatta seniculus	Alouatta_seniculus	NWM	NWM	NHP	NWM	na
Asen685	Asen685_GTTTCG_L001_R1_001_kneaddata	ERX2201487	Alouatta_seniculus	Colombia	Colombia	South America	na	na	na	Colombia	no	Alouatta seniculus	Alouatta_seniculus	NWM	NWM	NHP	NWM	na
AsenLink1	AsenLink1_ACTGAT_L001_R1_001_kneaddata	ERX2201488	Alouatta_seniculus	Ecuador	Ecuador	South America	na	na	na	Ecuador	no	Alouatta seniculus	Alouatta_seniculus	NWM	NWM	NHP	NWM	na
AsenLink2	AsenLink2_ATTCCT_L001_R1_001_kneaddata	ERX2201489	Alouatta_seniculus	Ecuador	Ecuador	South America	na	na	na	Ecuador	no	Alouatta seniculus	Alouatta_seniculus	NWM	NWM	NHP	NWM	na
AsenLink3	AsenLink3_ATCACG_L002_R1_001_kneaddata	ERX2201490	Alouatta_seniculus	Ecuador	Ecuador	South America	na	na	na	Ecuador	no	Alouatta seniculus	Alouatta_seniculus	NWM	NWM	NHP	NWM	na
AsenLink4	AsenLink4_CGTACG_L001_R1_001_kneaddata	ERX2201491	Alouatta_seniculus	Ecuador	Ecuador	South America	na	na	na	Ecuador	no	Alouatta seniculus	Alouatta_seniculus	NWM	NWM	NHP	NWM	na
AtbelzLink1	AtbelzLink1_CGATGT_L002_R1_001_kneaddata	ERX2201492	Ateles_belzebuth	Ecuador	Ecuador	South America	na	na	na	Ecuador	no	Ateles belzebuth	Ateles_belzebuth	NWM	NWM	NHP	NWM	na
AtbelzLink2	AtbelzLink2_TTAGGC_L002_R1_001_kneaddata	ERX2201493	Ateles_belzebuth	Ecuador	Ecuador	South America	na	na	na	Ecuador	no	Ateles belzebuth	Ateles_belzebuth	NWM	NWM	NHP	NWM	na
AtbelzLink3	AtbelzLink3_TGACCA_L002_R1_001_kneaddata	ERX2201494	Ateles_belzebuth	Ecuador	Ecuador	South America	na	na	na	Ecuador	no	Ateles belzebuth	Ateles_belzebuth	NWM	NWM	NHP	NWM	na
AtbelzLink4	AtbelzLink4_ACAGTG_L002_R1_001_kneaddata	ERX2201495	Ateles_belzebuth	Ecuador	Ecuador	South America	na	na	na	Ecuador	no	Ateles belzebuth	Ateles_belzebuth	NWM	NWM	NHP	NWM	na
AtbelzLink5	AtbelzLink5_GCCAAT_L002_R1_001_kneaddata	ERX2201496	Ateles_belzebuth	Ecuador	Ecuador	South America	na	na	na	Ecuador	no	Ateles belzebuth	Ateles_belzebuth	NWM	NWM	NHP	NWM	na
BWC2023	BWC2023_GTCCGC_L002_R1_001_kneaddata	ERX2201497	Colobus_guereza	Uganda	Uganda	Africa	na	na	na	Uganda	no	Colobus guereza	Colobus_guereza	OWM	OWM	NHP	OWM	na
BWC2026	BWC2026_GTGAAA_L002_R1_001_kneaddata	ERX2201498	Colobus_guereza	Uganda	Uganda	Africa	na	na	na	Uganda	no	Colobus guereza	Colobus_guereza	OWM	OWM	NHP	OWM	na
BWC2061	BWC2061_GTGGCC_L002_R1_001_kneaddata	ERX2201499	Colobus_guereza	Uganda	Uganda	Africa	na	na	na	Uganda	no	Colobus guereza	Colobus_guereza	OWM	OWM	NHP	OWM	na
BWC2063	BWC2063_GTTTCG_L002_R1_001_kneaddata	ERX2201500	Colobus_guereza	Uganda	Uganda	Africa	na	na	na	Uganda	no	Colobus guereza	Colobus_guereza	OWM	OWM	NHP	OWM	na
BWC2115	BWC2115_CGTACG_L002_R1_001_kneaddata	ERX2201501	Colobus_guereza	Uganda	Uganda	Africa	na	na	na	Uganda	no	Colobus guereza	Colobus_guereza	OWM	OWM	NHP	OWM	na
ERUB.102M	ERUB_102M_ATTCCT_L002_R1_001_kneaddata	ERX2201502	Eulemur_rubriventer	Madagascar	Madagascar	Africa	na	na	na	Madagascar	no	Eulemur rubriventer	Eulemur_rubriventer	Lemur	Lemur	NHP	Lemur	na
ERUB.105M	ERUB_105M_CGATGT_L003_R1_001_kneaddata	ERX2201503	Eulemur_rubriventer	Madagascar	Madagascar	Africa	na	na	na	Madagascar	no	Eulemur rubriventer	Eulemur_rubriventer	Lemur	Lemur	NHP	Lemur	na
ERUB.10M	ERUB_10M_ATCACG_L003_R1_001_kneaddata	ERX2201504	Eulemur_rubriventer	Madagascar	Madagascar	Africa	na	na	na	Madagascar	no	Eulemur rubriventer	Eulemur_rubriventer	Lemur	Lemur	NHP	Lemur	na
ERUB.12M	ERUB_12M_ACTGAT_L002_R1_001_kneaddata	ERX2201505	Eulemur_rubriventer	Madagascar	Madagascar	Africa	na	na	na	Madagascar	no	Eulemur rubriventer	Eulemur_rubriventer	Lemur	Lemur	NHP	Lemur	na
ERUB.20M	ERUB_20M_GAGTGG_L002_R1_001_kneaddata	ERX2201506	Eulemur_rubriventer	Madagascar	Madagascar	Africa	na	na	na	Madagascar	no	Eulemur rubriventer	Eulemur_rubriventer	Lemur	Lemur	NHP	Lemur	na
Gor1	Gor1_TTAGGC_L003_R1_001_kneaddata	ERX2201507	Gorilla_gorilla	CAR	CAR	Africa	na	na	na	CAR	keep	Gorilla gorilla	Gorilla_gorilla	Ape	Ape	NHP	Ape	Forest
Gor11	Gor11_TGACCA_L003_R1_001_kneaddata	ERX2201508	Gorilla_gorilla	CAR	CAR	Africa	na	na	na	CAR	keep	Gorilla gorilla	Gorilla_gorilla	Ape	Ape	NHP	Ape	Forest
Gor12	Gor12_ACAGTG_L003_R1_001_kneaddata	ERX2201509	Gorilla_gorilla	CAR	CAR	Africa	na	na	na	CAR	keep	Gorilla gorilla	Gorilla_gorilla	Ape	Ape	NHP	Ape	Forest
Gor2	Gor2_GCCAAT_L003_R1_001_kneaddata	ERX2201510	Gorilla_gorilla	CAR	CAR	Africa	na	na	na	CAR	keep	Gorilla gorilla	Gorilla_gorilla	Ape	Ape	NHP	Ape	Forest
Gor3	Gor3_CAGATC_L003_R1_001_kneaddata	ERX2201511	Gorilla_gorilla	CAR	CAR	Africa	na	na	na	CAR	keep	Gorilla gorilla	Gorilla_gorilla	Ape	Ape	NHP	Ape	Forest
JB1	JB1_TGACCA_L004_R1_001_kneaddata	ERX2201512	Papio_hamadryas	Ethiopia	Ethiopia	Africa	na	na	na	Ethiopia	keep	Papio hamadryas	Papio_hamadryas	OWM	OWM	NHP	OWM _ Cercopithecines	Savannah
JB10	JB10_GTGAAA_L003_R1_001_kneaddata	ERX2201513	Papio_anubis	Ethiopia	Ethiopia	Africa	na	na	na	Ethiopia	keep	Papio anubis	Papio_anubis	OWM	OWM	NHP	OWM _ Cercopithecines	Savannah
JB12	JB12_GTGGCC_L003_R1_001_kneaddata	ERX2201514	Papio_anubis	Ethiopia	Ethiopia	Africa	na	na	na	Ethiopia	keep	Papio anubis	Papio_anubis	OWM	OWM	NHP	OWM _ Cercopithecines	Savannah
JB13	JB13_ACAGTG_L004_R1_001_kneaddata	ERX2201515	Papio_hamadryas	Ethiopia	Ethiopia	Africa	na	na	na	Ethiopia	keep	Papio hamadryas	Papio_hamadryas	OWM	OWM	NHP	OWM _ Cercopithecines	Savannah
JB15	JB15_GCCAAT_L004_R1_001_kneaddata	ERX2201516	Papio_hamadryas	Ethiopia	Ethiopia	Africa	na	na	na	Ethiopia	keep	Papio hamadryas	Papio_hamadryas	OWM	OWM	NHP	OWM _ Cercopithecines	Savannah
JB17	JB17_CAGATC_L004_R1_001_kneaddata	ERX2201517	Papio_hamadryas	Ethiopia	Ethiopia	Africa	na	na	na	Ethiopia	keep	Papio hamadryas	Papio_hamadryas	OWM	OWM	NHP	OWM _ Cercopithecines	Savannah
JB18	JB18_ACTTGA_L004_R1_001_kneaddata	ERX2201518	Papio_hamadryas	Ethiopia	Ethiopia	Africa	na	na	na	Ethiopia	keep	Papio hamadryas	Papio_hamadryas	OWM	OWM	NHP	OWM _ Cercopithecines	Savannah
JB24	JB24_GTTTCG_L003_R1_001_kneaddata	ERX2201519	Papio_anubis	Ethiopia	Ethiopia	Africa	na	na	na	Ethiopia	keep	Papio anubis	Papio_anubis	OWM	OWM	NHP	OWM _ Cercopithecines	Savannah
JB25	JB25_CGTACG_L003_R1_001_kneaddata	ERX2201520	Papio_anubis	Ethiopia	Ethiopia	Africa	na	na	na	Ethiopia	keep	Papio anubis	Papio_anubis	OWM	OWM	NHP	OWM _ Cercopithecines	Savannah
JB27	JB27_AGTTCC_L004_R1_001_kneaddata	ERX2201521	Theropithecus_gelada	Ethiopia	Ethiopia	Africa	na	na	na	Ethiopia	keep	Theropithecus gelada	Theropithecus_gelada	OWM	OWM	NHP	OWM _ Cercopithecines	Savannah
